#pl_name,hostname,label,default_flag,sy_snum,sy_pnum,discoverymethod,tran_flag,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,my_label
K2-113 b,K2-113,,0,1,1,Transit,1,Published Confirmed,0,5.817608,3.1e-05,-2.9e-05,0,0.0558,0.0059,-0.0049,0.0,10.424,1.121,-0.785,0.0,0.93,0.1,-0.07,0.0,410.0007,41.3179,-44.4962,0,1.29,0.13,-0.14,0,Mass,0.0,,,0.0,,,,,1178.0,22.0,-23.0,0.0,0,G,5627.0,88.0,-88.0,0.0,1.05,0.11,-0.08,0.0,1.01,0.04,-0.04,0.0,0.18,0.062,-0.062,0.0,[Fe/H],4.4,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h17m47.85s,19.4493823,+06d52m07.85s,6.8688469,635.722,13.43,-13.43,
KELT-11 b,KELT-11,,0,1,1,Transit,1,Published Confirmed,0,4.736529,6.8e-05,-5.9e-05,0,0.06229,0.00088,-0.00076,0.0,15.356,1.681,-1.345,0.0,1.37,0.15,-0.12,0.0,61.97685,6.03877,-5.72094,0,0.195,0.019,-0.018,0,Mass,0.0,,,0.0,1433.0,176.0,-147.0,0.0,1712.0,51.0,-46.0,0.0,0,,5370.0,51.0,-50.0,0.0,2.72,0.21,-0.17,0.0,1.44,0.06,-0.05,0.0,0.18,0.075,-0.075,0.0,[Fe/H],3.73,0.04,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h46m49.66s,161.7069053,-09d23m57.71s,-9.3993646,99.1596,0.52105,-0.52105,
TrES-2 b,TrES-2,,0,2,1,Transit,1,Published Confirmed,0,2.470621,1.7e-05,-1.7e-05,0,,,,,13.675,0.504,-0.471,0.0,1.22,0.045,-0.042,0.0,380.76034,16.84499,-16.84499,0,1.198,0.053,-0.053,0,Mass,0.0,,,0.0,,,,,,,,,0,,,,,,1.0,0.04,-0.03,0.0,0.98,0.06,-0.06,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m14.05s,286.8085258,+49d18m59.12s,49.3164211,215.32,1.05,-1.039,
LTT 3780 b,LTT 3780,,1,2,2,Transit,1,Published Confirmed,0,0.768448,5.5e-05,-5.3e-05,0,0.01211,0.00012,-0.00012,0.0,1.332,0.072,-0.075,0.0,0.119,0.006,-0.007,0.0,2.62,0.48,-0.46,0,0.00824,0.00151,-0.00145,0,Mass,0.0,,,0.0,106.0,22.0,-19.0,0.0,892.0,44.0,-44.0,0.0,0,M4 V,3331.0,157.0,-157.0,0.0,0.37,0.01,-0.01,0.0,0.4,0.01,-0.01,0.0,0.28,0.11,-0.13,0.0,[Fe/H],4.9,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h18m34.78s,154.6449033,-11d43m04.08s,-11.717801,21.9814,0.0403,-0.0402,
KELT-19 A b,KELT-19 A,,1,2,1,Transit,1,Published Confirmed,0,4.6117093,8.8e-06,-8.8e-06,0,0.0637,0.0031,-0.0027,0.0,21.409,1.233,-1.233,0.0,1.91,0.11,-0.11,0.0,1293.5681,,,1,4.07,,,1,Mass,,,,,2340.0,184.0,-184.0,0.0,1935.0,38.0,-38.0,0.0,1,A8 V,7500.0,110.0,-110.0,0.0,1.83,0.1,-0.1,0.0,1.62,0.25,-0.2,0.0,-0.12,0.51,-0.51,0.0,[Fe/H],4.13,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h26m02.29s,111.5095293,+07d36m56.79s,7.6157759,300.276,4.684,-4.544,
WASP-4 b,WASP-4,,0,1,1,Transit,1,Published Confirmed,0,1.3382315,6.1e-07,-6.1e-07,0,0.02329,0.00077,-0.00035,0.0,15.368,0.426,-0.392,0.0,1.371,0.038,-0.035,0.0,409.68287,31.14734,-23.20159,0,1.289,0.098,-0.073,0,Mass,,,,,,,,,1662.0,46.0,-46.0,0.0,0,,5500.0,100.0,-100.0,0.0,0.91,0.02,-0.02,0.0,0.94,0.07,-0.07,0.0,-0.03,0.09,-0.09,0.0,[M/H],4.49,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h34m15.10s,353.5629149,-42d03m42.41s,-42.0617794,267.206,3.771,-3.67,
Kepler-11 g,Kepler-11,,0,1,6,Transit,1,Published Confirmed,0,118.37774,0.00112,-0.00112,0,0.462,0.016,-0.016,0.0,3.66,0.35,-0.35,0.0,0.327,0.031,-0.031,0.0,300.0,,,0,0.944,,,0,Mass,0.0,,,0.0,,,,,,,,,1,,5680.0,100.0,-100.0,0.0,1.1,0.1,-0.1,0.0,0.95,0.1,-0.1,0.0,0.0,0.1,-0.1,0.0,[Fe/H],4.3,0.2,-0.2,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.346,6.375,-6.375,
TOI-1789 b,TOI-1789,,1,1,1,Transit,1,Published Confirmed,0,3.208664,1.5e-05,-1.5e-05,0,0.04882,0.00063,-0.0016,0.0,16.141,2.69,-1.569,0.0,1.44,0.24,-0.14,0.0,222.47988,50.85255,-50.85255,0,0.7,0.16,-0.16,0,Mass,,,,,2300.0,130.0,-81.0,0.0,1927.0,27.0,-17.0,0.0,0,F,5991.0,55.0,-55.0,0.0,2.17,0.04,-0.03,0.0,1.51,0.06,-0.14,0.0,0.373,0.071,-0.086,0.0,[Fe/H],3.94,0.02,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h30m58.42s,142.743406,+26d32m23.98s,26.5399951,229.067,2.388,-2.34,
K2-98 b,K2-98,,0,1,1,Transit,1,Published Confirmed,0,10.13675,0.00033,-0.00033,0,0.0943,0.0061,-0.0052,0.0,4.3,0.3,-0.2,0.0,0.384,0.027,-0.018,0.0,32.2,8.1,-8.1,0,0.10131,0.02549,-0.02549,0,Mass,0.0,,,0.0,,,,,1102.0,26.0,-20.0,0.0,0,F8 V,6120.0,80.0,-80.0,0.0,1.31,0.08,-0.05,0.0,1.07,0.04,-0.04,0.0,-0.2,0.1,-0.1,0.0,[Fe/H],4.23,0.03,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h25m57.17s,126.4882114,+11d30m39.94s,11.5110933,518.625,11.518,-11.037,
TOI-201 b,TOI-201,,1,1,1,Transit,1,Published Confirmed,0,52.97818,4e-05,-4e-05,0,0.3,0.02,-0.03,0.0,11.299,0.135,-0.168,0.0,1.008,0.012,-0.015,0.0,133.4886,15.8915,-9.5349,0,0.42,0.05,-0.03,0,Mass,0.28,0.06,-0.09,0.0,,,,,759.0,37.0,-26.0,0.0,0,F6 V,6394.0,75.0,-75.0,0.0,1.32,0.01,-0.01,0.0,1.32,0.03,-0.03,0.0,0.24,0.036,-0.036,0.0,[Fe/H],4.32,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h49m36.43s,87.4017825,-54d54m37.52s,-54.910423,113.825,0.347,-0.345,
